1;9-00;10-30;I;;;;
;;;II;;;;
2;10-40;12-10;I;;;;
;;;II;;;;
3;12-40;14-10;I;кр. 1 н Конструирование и надежность;Л;Снедков А.Б.;ауд. 188.3 (С-20)
;;;II;;;;
4;14-20;15-50;I;кр. 1 н Конструирование и надежность;П;Снедков А.Б.;ауд. 183 (С-20)
;;;II;кр. 2 н Конструирование и надежность;П;Снедков А.Б.;ауд. 183 (С-20)
5;16-20;17-50;I;кр. 1 н Измерительные оптико-электронные приборные комплексы;П;Снедков А.Б.;ауд. 188.1 (С-20)
;;;II;кр. 2 н Измерительные оптико-электронные приборные комплексы;Л;Снедков А.Б.;ауд. 188.1 (С-20)
6;18-00;19-30;I;;;;
;;;II;;;;
7;19-40;21-10;I;;;;
;;;II;;;;
1;9-00;10-30;I;;;;
;;;II;;;;
2;10-40;12-10;I;;;;
;;;II;;;;
3;12-40;14-10;I;;;;
;;;II;;;;
4;14-20;15-50;I;;;;
;;;II;8, 10, 12 н.  Спектральные и поляризационные приборы;ЛБ;Мирсаитов С.Ф.;ауд. 183 (С-20)
5;16-20;17-50;I;кр. 1 н Встраиваемые системы на базе программируемых логических схем;П;Орлов В.П.;ауд. 183 (С-20)
;;;II;8, 10, 12 н.  Спектральные и поляризационные приборы;ЛБ;Мирсаитов С.Ф.;ауд. 183 (С-20)
6;18-00;19-30;I;5, 11, 17 н Интеллектуальные измерительные приборы, системы и комплексы;ЛБ;Куликов А.К.;ауд. 183 (С-20)
;;;II;6-12 н Информационные измерительные и управляющие системы;ЛБ;Слепцов В.В.;ауд. 188.2 (С-20)
7;19-40;21-10;I;5, 11, 17 н Интеллектуальные измерительные приборы, системы и комплексы;ЛБ;Куликов А.К.;ауд. 183 (С-20)
;;;II;6-12 н Информационные измерительные и управляющие системы;ЛБ;Слепцов В.В.;ауд. 188.2 (С-20)
1;9-00;10-30;I;;;;
;;;II;;;;
2;10-40;12-10;I;;;;
;;;II;;;;
3;12-40;14-10;I;;;;
;;;II;;;;
